Name,Course,Confidence,Next Review,Last Edited,Materials
Notes For Test 1,Market Research and Technology Trends (Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Market%20Research%20and%20Technology%20Trends%20116b65ee4ea680daa2cdc3ceaf468f24.md),Not Confident,,"December 12, 2024 1:07 PM",
Practical 6,Operating Systems And Management (Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Operating%20Systems%20And%20Management%20116b65ee4ea680c29c79e64fcd829ada.md),Not Confident,,"February 9, 2025 9:28 AM",
Practical 6 & 7( Test 2),Operating Systems And Management (Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Operating%20Systems%20And%20Management%20116b65ee4ea680c29c79e64fcd829ada.md),Not Confident,,"January 20, 2025 1:01 PM",
Practical 7,Operating Systems And Management (Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Operating%20Systems%20And%20Management%20116b65ee4ea680c29c79e64fcd829ada.md),Not Confident,,"February 9, 2025 10:35 AM",
Practical 9,Operating Systems And Management (Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Operating%20Systems%20And%20Management%20116b65ee4ea680c29c79e64fcd829ada.md),Not Confident,,"February 10, 2025 1:15 PM",
Practical 10,Operating Systems And Management (Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Operating%20Systems%20And%20Management%20116b65ee4ea680c29c79e64fcd829ada.md),Not Confident,,"January 30, 2025 2:38 AM",
Topic 1,Operating Systems And Management (Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Operating%20Systems%20And%20Management%20116b65ee4ea680c29c79e64fcd829ada.md),Not Confident,,"December 2, 2024 3:47 PM",
Topic 2,Operating Systems And Management (Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Operating%20Systems%20And%20Management%20116b65ee4ea680c29c79e64fcd829ada.md),Not Confident,,"December 2, 2024 3:26 PM",
Topic 3,Operating Systems And Management (Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Operating%20Systems%20And%20Management%20116b65ee4ea680c29c79e64fcd829ada.md),Not Confident,,"December 2, 2024 3:29 PM",
Topic 4,Operating Systems And Management (Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Operating%20Systems%20And%20Management%20116b65ee4ea680c29c79e64fcd829ada.md),Not Confident,,"December 2, 2024 3:32 PM",
Topic 5,Operating Systems And Management (Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Operating%20Systems%20And%20Management%20116b65ee4ea680c29c79e64fcd829ada.md),Not Confident,,"January 20, 2025 3:50 PM",
Topic 6,Operating Systems And Management (Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Operating%20Systems%20And%20Management%20116b65ee4ea680c29c79e64fcd829ada.md),Not Confident,,"January 20, 2025 1:25 PM",
Topic 7,Operating Systems And Management (Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Operating%20Systems%20And%20Management%20116b65ee4ea680c29c79e64fcd829ada.md),Not Confident,,"February 7, 2025 1:48 PM",
Topic 8,Operating Systems And Management (Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Operating%20Systems%20And%20Management%20116b65ee4ea680c29c79e64fcd829ada.md),Not Confident,,"February 10, 2025 1:38 PM",
Topic 9,Operating Systems And Management (Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Operating%20Systems%20And%20Management%20116b65ee4ea680c29c79e64fcd829ada.md),Not Confident,,"February 10, 2025 1:56 PM",
Topic 10,Operating Systems And Management (Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Operating%20Systems%20And%20Management%20116b65ee4ea680c29c79e64fcd829ada.md),Not Confident,,"February 10, 2025 1:58 PM",
Topic 11 (not tested),Operating Systems And Management (Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Operating%20Systems%20And%20Management%20116b65ee4ea680c29c79e64fcd829ada.md),Not Confident,,"January 27, 2025 1:42 PM",
,,Not Confident,,"October 5, 2024 10:34 PM",
